"0123456789";"EUR";20110319;"D";130,000,000.90;"0000000000";"De Kaasmakerij";20110321;"ba";"";"Pinautomaat 11:57 pasnr. 022";"";"";"";"";""
"0123456789";"EUR";20110319;"C";130.000.000,90;"0000000000";"De Kaasmakerij";20110321;"ba";"";"Pinautomaat 11:57 pasnr. 022";"";"";"";"";""
"0123456789";"EUR";20110319;"D";250.000.000;"0000000000";"Vomar super";20110321;"cb";"";"Pinautomaat 12:15 pasnr. 022";"";"";"";"";""
"0123456789";"EUR";20110319;"D";250.000;"0000000000";"Vomar super";20110321;"ba";"";"Pinautomaat 12:15 pasnr. 022";"";"";"";"";""
"0987654321";"EUR";20110319;"C";250,000,000;"0000000000";"Vomar super";20110321;"ba";"";"Pinautomaat 12:15 pasnr. 022";"";"";"";"";""
"987654321";"EUR";20110319;"D";250,000;"0000000000";"Vomar super";20110321;"ma";"";"Pinautomaat 12:15 pasnr. 022";"";"";"";"";""
"0987654321";"EUR";20110319;"D";25,98;"0000000000";"Vomar super ALMER";20110321;"ba";"";"Pinautomaat 12:15 pasnr. 022";"";"";"";"";""
"0987654321";"EUR";20110321;"C";20.00;"0244743274";"Liquix B.V.";20110321;"id";"";"BETALINGSKENM. F031000000120659";"0080000109387046 19-03-11 19:15";"Mobile number 06xxxxxxxx KPN NL Voice";"";""
"P987654";"EUR";20110321;"D";20;"0244743274";"Liquix B.V.";20110321;"id";"";"BETALINGSKENM.  F031000000120659";"0080000109387046 19-03-11 19:15";"Mobile number 06xxxxxxxx";"KPN NL Voice";"";""

